league,team_0,team_1,kick_off_epoch,kick_off_timestamp,home_team,bookmaker,odds_0,odds_1,odds_2,odds_0_or,odds_1_or,odds_2_or,bookmaker_margin,stripped_0,stripped_1,stripped_2,target_0,target_1,target_2
Belgium First Div,Beerschot Wilrijk,KV Mechelen,1613314800,2021-02-14 15:00:00,Beerschot Wilrijk,Betfair,3.95,2.0,3.9,0.2531645569620253,0.5,0.25641025641025644,1.0095748133722817,0.2507635428387719,0.49525799710657453,0.25397846005465363,3.987820512820513,2.0191496267445634,3.937341772151898
Belgium First Div,Beerschot Wilrijk,KV Mechelen,1613314800,2021-02-14 15:00:00,Beerschot Wilrijk,Ladbrokes,3.6,1.85,3.4,0.2777777777777778,0.5405405405405405,0.29411764705882354,1.1124359653771418,0.2497022628026995,0.48590710599444215,0.2643906312028583,4.00476947535771,2.0580065359477127,3.7822822822822824
Belgium First Div,Beerschot Wilrijk,KV Mechelen,1613314800,2021-02-14 15:00:00,Beerschot Wilrijk,Matchbook,4.0,1.96,3.8,0.25,0.5102040816326531,0.2631578947368421,1.0233619763694952,0.2442928365258462,0.4985568092364209,0.25715035423773286,4.093447905477981,2.0057894736842106,3.888775510204082
Belgium First Div,Charleroi,Club Brugge,1613322900,2021-02-14 17:15:00,Charleroi,Unibet,6.4,1.48,4.1,0.15625,0.6756756756756757,0.24390243902439027,1.075828114700066,0.14523695548109145,0.6280516993776927,0.2267113451412159,6.885299934080421,1.5922256097560976,4.41089527027027
Belgium First Div,Charleroi,Club Brugge,1613322900,2021-02-14 17:15:00,Charleroi,888sport,6.4,1.45,4.1,0.15625,0.6896551724137931,0.24390243902439027,1.0898076114381834,0.1433739298203304,0.6328228626552515,0.2238032075244182,6.974768713204374,1.5802210365853657,4.468211206896552
Belgium First Div,Charleroi,Club Brugge,1613322900,2021-02-14 17:15:00,Charleroi,Paddy Power,6.5,1.44,4.0,0.15384615384615385,0.6944444444444444,0.25,1.0982905982905984,0.14007782101167315,0.632295719844358,0.22762645914396884,7.138888888888888,1.5815384615384616,4.3931623931623935
Belgium First Div,Charleroi,Club Brugge,1613322900,2021-02-14 17:15:00,Charleroi,Betclic,6.4,1.5,4.22,0.15625,0.6666666666666666,0.23696682464454977,1.0598834913112163,0.14742186408309657,0.6289999534212121,0.2235781824956915,6.783254344391785,1.5898252369668244,4.472708333333332
Belgium First Div,Charleroi,Club Brugge,1613322900,2021-02-14 17:15:00,Charleroi,Marathon Bet,7.6,1.51,3.92,0.13157894736842105,0.6622516556291391,0.25510204081632654,1.0489326438138866,0.12544079750440798,0.6313576563135767,0.24320154618201548,7.971888092985538,1.5838882921589685,4.111815963750435
Belgium First Div,Charleroi,Club Brugge,1613322900,2021-02-14 17:15:00,Charleroi,Betway,6.5,1.5,4.2,0.15384615384615385,0.6666666666666666,0.23809523809523808,1.0586080586080586,0.1453287197231834,0.629757785467128,0.22491349480968856,6.8809523809523805,1.587912087912088,4.446153846153846
Belgium First Div,Charleroi,Club Brugge,1613322900,2021-02-14 17:15:00,Charleroi,Betfair,7.6,1.55,4.4,0.13157894736842105,0.6451612903225806,0.22727272727272727,1.0040129649637288,0.1310530361260569,0.6425826287471177,0.22636433512682555,7.630498533724339,1.5562200956937797,4.417657045840407
Belgium First Div,Charleroi,Club Brugge,1613322900,2021-02-14 17:15:00,Charleroi,Ladbrokes,6.0,1.44,3.9,0.16666666666666666,0.6944444444444444,0.25641025641025644,1.1175213675213675,0.14913957934990438,0.6214149139579349,0.22944550669216063,6.705128205128206,1.6092307692307695,4.358333333333333
Belgium First Div,Charleroi,Club Brugge,1613322900,2021-02-14 17:15:00,Charleroi,Matchbook,7.1,1.54,4.2,0.14084507042253522,0.6493506493506493,0.23809523809523808,1.0282909578684227,0.13697005632967685,0.6314853246368217,0.2315446190335013,7.300865800865801,1.583568075117371,4.3188220230473755
Belgium First Div,Anderlecht,Cercle Brugge KSV,1613331900,2021-02-14 19:45:00,Cercle Brugge KSV,Unibet,1.68,4.4,3.95,0.5952380952380952,0.22727272727272727,0.2531645569620253,1.0756753794728477,0.5533622007131941,0.21128374936321956,0.23535404992358633,1.8071346375143844,4.732971669680531,4.24891774891775
Belgium First Div,Anderlecht,Cercle Brugge KSV,1613331900,2021-02-14 19:45:00,Cercle Brugge KSV,888sport,1.65,4.35,3.85,0.6060606060606061,0.2298850574712644,0.2597402597402597,1.0956859232721303,0.553133514986376,0.2098092643051771,0.23705722070844681,1.807881773399015,4.766233766233767,4.218390804597702
Belgium First Div,Anderlecht,Cercle Brugge KSV,1613331900,2021-02-14 19:45:00,Cercle Brugge KSV,Paddy Power,1.65,4.4,3.8,0.6060606060606061,0.22727272727272727,0.2631578947368421,1.0964912280701755,0.5527272727272727,0.20727272727272725,0.23999999999999996,1.8092105263157894,4.824561403508772,4.166666666666667
Belgium First Div,Anderlecht,Cercle Brugge KSV,1613331900,2021-02-14 19:45:00,Cercle Brugge KSV,Betclic,1.71,4.65,3.85,0.5847953216374269,0.2150537634408602,0.2597402597402597,1.059589344818547,0.5519075144508669,0.2029595375722543,0.24513294797687857,1.8118977796397155,4.927090453406244,4.0794189775514065
Belgium First Div,Anderlecht,Cercle Brugge KSV,1613331900,2021-02-14 19:45:00,Cercle Brugge KSV,Marathon Bet,1.75,4.7,3.78,0.5714285714285714,0.2127659574468085,0.2645502645502646,1.0487447934256444,0.544869042507514,0.20287677114641478,0.25225418634607133,1.8353033884948777,4.929100529100529,3.9642553191489354
Belgium First Div,Anderlecht,Cercle Brugge KSV,1613331900,2021-02-14 19:45:00,Cercle Brugge KSV,Betway,1.7,4.5,4.0,0.5882352941176471,0.2222222222222222,0.25,1.0604575163398693,0.5546995377503853,0.20955315870570107,0.2357473035439137,1.8027777777777776,4.772058823529412,4.241830065359477
