,season,Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
0,9394,E0,14/08/93,,Arsenal,Coventry,0.0,3.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,9394,E0,14/08/93,,Aston Villa,QPR,4.0,1.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9394,E0,14/08/93,,Chelsea,Blackburn,1.0,2.0,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9394,E0,14/08/93,,Liverpool,Sheffield Weds,2.0,0.0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,9394,E0,14/08/93,,Man City,Leeds,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
