league,team_0,team_1,kick_off_epoch,kick_off_timestamp,home_team,bookmaker,odds_0,odds_1,odds_2,odds_0_or,odds_1_or,odds_2_or,bookmaker_margin,stripped_0,stripped_1,stripped_2,target_0,target_1,target_2
Primera División - Argentina,Defensa y Justicia,Lanus,1613851800,2021-02-20 20:10:00,Lanus,Unibet,2.95,2.45,2.95,0.3389830508474576,0.4081632653061224,0.3389830508474576,1.0861293670010377,0.31210191082802546,0.375796178343949,0.31210191082802546,3.2040816326530615,2.6610169491525424,3.2040816326530615
Primera División - Argentina,Defensa y Justicia,Lanus,1613851800,2021-02-20 20:10:00,Lanus,888sport,2.95,2.45,2.95,0.3389830508474576,0.4081632653061224,0.3389830508474576,1.0861293670010377,0.31210191082802546,0.375796178343949,0.31210191082802546,3.2040816326530615,2.6610169491525424,3.2040816326530615
Primera División - Argentina,Estudiantes,Godoy Cruz,1613851800,2021-02-20 20:10:00,Godoy Cruz,Unibet,2.12,3.2,3.3,0.4716981132075471,0.3125,0.30303030303030304,1.08722841623785,0.43385373870172556,0.2874281018898932,0.2787181594083813,2.304924242424242,3.4791309319611203,3.5878537735849054
Primera División - Argentina,Estudiantes,Godoy Cruz,1613851800,2021-02-20 20:10:00,Godoy Cruz,888sport,2.12,3.2,3.3,0.4716981132075471,0.3125,0.30303030303030304,1.08722841623785,0.43385373870172556,0.2874281018898932,0.2787181594083813,2.304924242424242,3.4791309319611203,3.5878537735849054
Primera División - Argentina,Aldosivi Mar del Plata,Racing Club,1613859600,2021-02-20 22:20:00,Racing Club,Unibet,6.5,1.52,3.6,0.15384615384615385,0.6578947368421053,0.2777777777777778,1.089518668466037,0.1412056151940545,0.6038398018166804,0.25495458298926504,7.081871345029239,1.656068376068376,3.9222672064777333
Primera División - Argentina,Aldosivi Mar del Plata,Racing Club,1613859600,2021-02-20 22:20:00,Racing Club,888sport,6.5,1.52,3.6,0.15384615384615385,0.6578947368421053,0.2777777777777778,1.089518668466037,0.1412056151940545,0.6038398018166804,0.25495458298926504,7.081871345029239,1.656068376068376,3.9222672064777333
Primera División - Argentina,River Plate,Rosario Central,1613867400,2021-02-21 00:30:00,River Plate,Unibet,1.38,7.0,4.6,0.7246376811594204,0.14285714285714285,0.2173913043478261,1.0848861283643894,0.66793893129771,0.13167938931297707,0.20038167938931298,1.497142857142857,7.594202898550726,4.9904761904761905
Primera División - Argentina,River Plate,Rosario Central,1613867400,2021-02-21 00:30:00,River Plate,888sport,1.38,7.0,4.6,0.7246376811594204,0.14285714285714285,0.2173913043478261,1.0848861283643894,0.66793893129771,0.13167938931297707,0.20038167938931298,1.497142857142857,7.594202898550726,4.9904761904761905
Primera División - Argentina,Independiente,Patronato Parana,1613946000,2021-02-21 22:20:00,Patronato Parana,Unibet,2.12,3.25,3.25,0.4716981132075471,0.3076923076923077,0.3076923076923077,1.0870827285921625,0.43391188251001334,0.28304405874499333,0.28304405874499333,2.3046153846153845,3.533018867924528,3.533018867924528
Primera División - Argentina,Independiente,Patronato Parana,1613946000,2021-02-21 22:20:00,Patronato Parana,888sport,2.12,3.25,3.25,0.4716981132075471,0.3076923076923077,0.3076923076923077,1.0870827285921625,0.43391188251001334,0.28304405874499333,0.28304405874499333,2.3046153846153845,3.533018867924528,3.533018867924528
Primera División - Argentina,Boca Juniors,Newells Old Boys,1613953800,2021-02-22 00:30:00,Newells Old Boys,Unibet,1.78,4.1,3.55,0.5617977528089888,0.24390243902439027,0.28169014084507044,1.0873903326784495,0.5166477353400539,0.22430072412324292,0.2590515405367031,1.9355547921676401,4.4583003639816425,3.8602356810084957
Primera División - Argentina,Boca Juniors,Newells Old Boys,1613953800,2021-02-22 00:30:00,Newells Old Boys,888sport,1.78,4.1,3.55,0.5617977528089888,0.24390243902439027,0.28169014084507044,1.0873903326784495,0.5166477353400539,0.22430072412324292,0.2590515405367031,1.9355547921676401,4.4583003639816425,3.8602356810084957
Primera División - Argentina,Atletico Tucuman,Central Córdoba,1614032100,2021-02-22 22:15:00,Atletico Tucuman,Unibet,2.25,2.95,3.3,0.4444444444444444,0.3389830508474576,0.30303030303030304,1.086457798322205,0.40907658367475574,0.312007563819729,0.2789158525055153,2.4445300462249615,3.205050505050505,3.5853107344632766
Primera División - Argentina,Atletico Tucuman,Central Córdoba,1614032100,2021-02-22 22:15:00,Atletico Tucuman,888sport,2.25,2.95,3.3,0.4444444444444444,0.3389830508474576,0.30303030303030304,1.086457798322205,0.40907658367475574,0.312007563819729,0.2789158525055153,2.4445300462249615,3.205050505050505,3.5853107344632766
Primera División - Argentina,Colon de Santa Fe,San Lorenzo,1614040200,2021-02-23 00:30:00,Colon de Santa Fe,Unibet,2.88,2.35,3.2,0.3472222222222222,0.425531914893617,0.3125,1.0852541371158393,0.3199455411844792,0.39210347174948945,0.2879509870660313,3.1255319148936174,2.5503472222222223,3.472813238770686
Primera División - Argentina,Colon de Santa Fe,San Lorenzo,1614040200,2021-02-23 00:30:00,Colon de Santa Fe,888sport,2.88,2.35,3.2,0.3472222222222222,0.425531914893617,0.3125,1.0852541371158393,0.3199455411844792,0.39210347174948945,0.2879509870660313,3.1255319148936174,2.5503472222222223,3.472813238770686
A-League,Melbourne Victory,Newcastle Jets FC,1613883900,2021-02-21 05:05:00,Melbourne Victory,Unibet,2.38,2.88,3.5,0.42016806722689076,0.3472222222222222,0.2857142857142857,1.0531045751633985,0.3989803834644797,0.3297129557796742,0.2713066607558462,2.5063888888888886,3.032941176470588,3.685866013071895
A-League,Melbourne Victory,Newcastle Jets FC,1613883900,2021-02-21 05:05:00,Melbourne Victory,1xBet,2.42,2.77,3.64,0.4132231404958678,0.36101083032490977,0.2747252747252747,1.0489592455460521,0.3939363156866576,0.344160968939246,0.2619027153740965,2.5384813742214463,2.905617110162564,3.8182116537876305
A-League,Melbourne Victory,Newcastle Jets FC,1613883900,2021-02-21 05:05:00,Melbourne Victory,888sport,2.3,2.75,3.35,0.4347826086956522,0.36363636363636365,0.29850746268656714,1.096926435018583,0.39636441862966554,0.33150478649026566,0.2721307948800688,2.5229308005427407,3.0165476963011035,3.6747035573122533
A-League,Melbourne Victory,Newcastle Jets FC,1613883900,2021-02-21 05:05:00,Melbourne Victory,Bet Victor,2.38,2.9,3.5,0.42016806722689076,0.3448275862068966,0.2857142857142857,1.050709939148073,0.39988968560397137,0.3281853281853282,0.2719249862107005,2.5006896551724136,3.0470588235294116,3.6774847870182557
A-League,Melbourne Victory,Newcastle Jets FC,1613883900,2021-02-21 05:05:00,Melbourne Victory,Ladbrokes,2.4,2.8,3.4,0.4166666666666667,0.35714285714285715,0.29411764705882354,1.0679271708683473,0.39016393442622954,0.3344262295081967,0.2754098360655738,2.5630252100840334,2.9901960784313726,3.630952380952381
A-League,Melbourne Victory,Newcastle Jets FC,1613883900,2021-02-21 05:05:00,Melbourne Victory,Marathon Bet,2.42,2.77,3.64,0.4132231404958678,0.36101083032490977,0.2747252747252747,1.0489592455460521,0.3939363156866576,0.344160968939246,0.2619027153740965,2.5384813742214463,2.905617110162564,3.8182116537876305
A-League,Melbourne Victory,Newcastle Jets FC,1613883900,2021-02-21 05:05:00,Melbourne Victory,Betfair,2.48,3.0,3.5,0.40322580645161293,0.3333333333333333,0.2857142857142857,1.022273425499232,0.3944402704733283,0.3260706235912847,0.2794891059353869,2.5352380952380953,3.066820276497696,3.5779569892473124
A-League,Melbourne Victory,Newcastle Jets FC,1613883900,2021-02-21 05:05:00,Melbourne Victory,Matchbook,2.48,3.02,3.56,0.40322580645161293,0.33112582781456956,0.2808988764044944,1.0152505106706768,0.39716877973815645,0.32615184561279076,0.27667937464905284,2.5178212664632786,3.0660565422254438,3.614291817987609
A-League,Wellington Phoenix FC,Western Sydney Wanderers,1613891400,2021-02-21 07:10:00,Wellington Phoenix FC,Unibet,2.5,2.65,3.65,0.4,0.37735849056603776,0.273972602739726,1.0513310933057638,0.3804700560527092,0.3589340151440653,0.26059592880322546,2.6283277332644093,2.786027397260274,3.837358490566038
A-League,Wellington Phoenix FC,Western Sydney Wanderers,1613891400,2021-02-21 07:10:00,Wellington Phoenix FC,1xBet,2.53,2.63,3.64,0.3952569169960475,0.3802281368821293,0.2747252747252747,1.0502103286034514,0.3763597693060705,0.362049511918007,0.26159071877592255,2.6570321313667318,2.7620531642270767,3.822765596116564
A-League,Wellington Phoenix FC,Western Sydney Wanderers,1613891400,2021-02-21 07:10:00,Wellington Phoenix FC,888sport,2.4,2.55,3.5,0.4166666666666667,0.3921568627450981,0.2857142857142857,1.0945378151260505,0.3806781829814459,0.3582853486884197,0.26103646833013433,2.6268907563025214,2.7910714285714286,3.830882352941177
A-League,Wellington Phoenix FC,Western Sydney Wanderers,1613891400,2021-02-21 07:10:00,Wellington Phoenix FC,Bet Victor,2.55,2.62,3.6,0.3921568627450981,0.38167938931297707,0.2777777777777778,1.051614029835853,0.37290950065235445,0.36294626971889454,0.26414422962875106,2.6816157760814248,2.7552287581699346,3.78581050740907
A-League,Wellington Phoenix FC,Western Sydney Wanderers,1613891400,2021-02-21 07:10:00,Wellington Phoenix FC,Ladbrokes,2.55,2.6,3.4,0.3921568627450981,0.3846153846153846,0.29411764705882354,1.0708898944193062,0.3661971830985916,0.35915492957746475,0.2746478873239437,2.7307692307692304,2.7843137254901964,3.6410256410256405
A-League,Wellington Phoenix FC,Western Sydney Wanderers,1613891400,2021-02-21 07:10:00,Wellington Phoenix FC,Marathon Bet,2.53,2.63,3.64,0.3952569169960475,0.3802281368821293,0.2747252747252747,1.0502103286034514,0.3763597693060705,0.362049511918007,0.26159071877592255,2.6570321313667318,2.7620531642270767,3.822765596116564
A-League,Wellington Phoenix FC,Western Sydney Wanderers,1613891400,2021-02-21 07:10:00,Wellington Phoenix FC,Betfair,2.6,2.74,3.6,0.3846153846153846,0.36496350364963503,0.2777777777777778,1.0273566660427975,0.3743737665097919,0.3552451798998026,0.2703810535904053,2.671127331711274,2.814957264957265,3.698483997754071
A-League,Wellington Phoenix FC,Western Sydney Wanderers,1613891400,2021-02-21 07:10:00,Wellington Phoenix FC,Matchbook,2.65,2.73,3.62,0.37735849056603776,0.3663003663003663,0.27624309392265195,1.0199019507890559,0.36999487085409644,0.35915253031624744,0.27085259882965623,2.702740169590998,2.7843323256541224,3.692045061856382
Belgium First Div,Eupen,Oostende,1613834100,2021-02-20 15:15:00,Eupen,Unibet,2.65,2.48,3.4,0.37735849056603776,0.40322580645161293,0.29411764705882354,1.0747019440764742,0.35112850837011744,0.3751978012825852,0.2736736903472974,2.8479601518026563,2.665260821309656,3.6539866098600124
Belgium First Div,Eupen,Oostende,1613834100,2021-02-20 15:15:00,Eupen,Betclic,2.64,2.55,3.45,0.3787878787878788,0.3921568627450981,0.2898550724637681,1.060799813996745,0.35707762557077627,0.3696803652968037,0.2732420091324201,2.8005115089514065,2.7050395256916993,3.65975935828877
Belgium First Div,Eupen,Oostende,1613834100,2021-02-20 15:15:00,Eupen,888sport,2.63,2.43,3.3,0.3802281368821293,0.4115226337448559,0.30303030303030304,1.0947810736572883,0.3473097462417006,0.375894910541429,0.27679534321687044,2.879274223718668,2.6603180089872107,3.6127775430690514
Belgium First Div,Eupen,Oostende,1613834100,2021-02-20 15:15:00,Eupen,Paddy Power,2.62,2.3,3.3,0.38167938931297707,0.4347826086956522,0.30303030303030304,1.1194923010389324,0.3409397179049501,0.38837480909172584,0.270685473003324,2.933069828722003,2.574832292389544,3.694324593428477
Belgium First Div,Eupen,Oostende,1613834100,2021-02-20 15:15:00,Eupen,Betfair,2.6,2.64,3.75,0.3846153846153846,0.3787878787878788,0.26666666666666666,1.03006993006993,0.373387644263408,0.36773025571396245,0.25888210002262957,2.678181818181818,2.719384615384615,3.8627622377622375
Belgium First Div,Eupen,Oostende,1613834100,2021-02-20 15:15:00,Eupen,Betway,2.62,2.6,3.4,0.38167938931297707,0.3846153846153846,0.29411764705882354,1.0604124209871852,0.35993485342019543,0.3627035830618892,0.2773615635179153,2.7782805429864252,2.757072294566682,3.60540223135643
Belgium First Div,Eupen,Oostende,1613834100,2021-02-20 15:15:00,Eupen,Marathon Bet,2.65,2.58,3.52,0.37735849056603776,0.38759689922480617,0.2840909090909091,1.049046298881753,0.3597157637067962,0.3694754937298487,0.2708087425633551,2.779972692036645,2.706539451114923,3.6926429720637706
Belgium First Div,Eupen,Oostende,1613834100,2021-02-20 15:15:00,Eupen,Ladbrokes,2.5,2.4,3.3,0.4,0.4166666666666667,0.30303030303030304,1.1196969696969696,0.3572395128552098,0.3721244925575102,0.2706359945872801,2.799242424242424,2.687272727272727,3.695
Belgium First Div,Eupen,Oostende,1613834100,2021-02-20 15:15:00,Eupen,Matchbook,2.73,2.63,3.56,0.3663003663003663,0.3802281368821293,0.2808988764044944,1.02742737958699,0.35652190468937417,0.3700778706471451,0.2734002246634808,2.8048767462724826,2.7021340083137835,3.6576414713296836
Belgium First Div,Cercle Brugge KSV,Royal Excel Mouscron,1613842200,2021-02-20 17:30:00,Royal Excel Mouscron,Unibet,2.48,2.75,3.25,0.40322580645161293,0.36363636363636365,0.3076923076923077,1.0745544777802842,0.37524929148735175,0.3384066337776845,0.2863440747349638,2.6648951048951046,2.9550248138957818,3.492302052785923
Belgium First Div,Cercle Brugge KSV,Royal Excel Mouscron,1613842200,2021-02-20 17:30:00,Royal Excel Mouscron,Betclic,2.49,2.88,3.22,0.4016064257028112,0.3472222222222222,0.3105590062111801,1.0593876541362135,0.37909298275735204,0.3277574746756273,0.2931495425670207,2.637875258799172,3.051036443912295,3.4112282463186077
Belgium First Div,Cercle Brugge KSV,Royal Excel Mouscron,1613842200,2021-02-20 17:30:00,Royal Excel Mouscron,Betfair,2.54,2.94,3.3,0.39370078740157477,0.3401360544217687,0.30303030303030304,1.0368671448536464,0.37970224956558496,0.32804207955666187,0.2922556708777533,2.633642547928262,3.0483894058697203,3.421661578017033
Belgium First Div,Cercle Brugge KSV,Royal Excel Mouscron,1613842200,2021-02-20 17:30:00,Royal Excel Mouscron,Betway,2.5,2.88,3.2,0.4,0.3472222222222222,0.3125,1.0597222222222222,0.3774574049803408,0.327653997378768,0.2948885976408912,2.6493055555555554,3.0520000000000005,3.3911111111111114
Belgium First Div,Cercle Brugge KSV,Royal Excel Mouscron,1613842200,2021-02-20 17:30:00,Royal Excel Mouscron,Marathon Bet,2.5,2.84,3.36,0.4,0.35211267605633806,0.2976190476190476,1.0497317236753858,0.38104973964156785,0.33543110883940835,0.2835191515190237,2.6243293091884645,2.9812380952380955,3.5270985915492963
Belgium First Div,Cercle Brugge KSV,Royal Excel Mouscron,1613842200,2021-02-20 17:30:00,Royal Excel Mouscron,Ladbrokes,2.38,2.75,3.0,0.42016806722689076,0.36363636363636365,0.3333333333333333,1.1171377641965876,0.3761112377478915,0.32550718030544795,0.2983815819466606,2.6587878787878787,3.072128851540616,3.351413292589763
Belgium First Div,Cercle Brugge KSV,Royal Excel Mouscron,1613842200,2021-02-20 17:30:00,Royal Excel Mouscron,Matchbook,2.56,2.99,3.3,0.390625,0.33444816053511706,0.30303030303030304,1.02810346356542,0.379947168590726,0.3253059369873775,0.29474689442189655,2.6319448667274754,3.074029356060606,3.392741429765886
Belgium First Div,Charleroi,Waasland-Beveren,1613850300,2021-02-20 19:45:00,Waasland-Beveren,Unibet,1.85,3.65,3.85,0.5405405405405405,0.273972602739726,0.2597402597402597,1.0742534030205262,0.5031778712738341,0.25503535941276523,0.24178676931340076,1.9873687955879735,3.9210249210249204,4.135875601629026
Belgium First Div,Charleroi,Waasland-Beveren,1613850300,2021-02-20 19:45:00,Waasland-Beveren,Betclic,1.85,3.83,3.88,0.5405405405405405,0.2610966057441253,0.2577319587628866,1.0593691050475524,0.5102475973341482,0.24646424414312643,0.24328815852272537,1.9598328443379724,4.057383672332126,4.110352127584503
Belgium First Div,Charleroi,Waasland-Beveren,1613850300,2021-02-20 19:45:00,Waasland-Beveren,888sport,1.82,3.6,3.8,0.5494505494505494,0.2777777777777778,0.2631578947368421,1.0903862219651692,0.5039045233534699,0.25475173125092093,0.24134374539560927,1.984502923976608,3.9253903990746086,4.143467643467643
Belgium First Div,Charleroi,Waasland-Beveren,1613850300,2021-02-20 19:45:00,Waasland-Beveren,Paddy Power,1.8,3.8,3.7,0.5555555555555556,0.2631578947368421,0.27027027027027023,1.0889837205626678,0.5101596516690857,0.24165457184325112,0.24818577648766327,1.9601706970128019,4.138138138138138,4.029239766081871
Belgium First Div,Charleroi,Waasland-Beveren,1613850300,2021-02-20 19:45:00,Waasland-Beveren,Betfair,1.92,4.1,3.9,0.5208333333333334,0.24390243902439027,0.25641025641025644,1.02114602876798,0.5100478468899521,0.23885167464114831,0.25110047846889955,1.9606003752345218,4.186698717948718,3.9824695121951215
Belgium First Div,Charleroi,Waasland-Beveren,1613850300,2021-02-20 19:45:00,Waasland-Beveren,Betway,1.88,3.6,4.0,0.5319148936170213,0.2777777777777778,0.25,1.059692671394799,0.501952035694367,0.2621305075292806,0.2359174567763525,1.9922222222222223,3.814893617021276,4.238770685579196
Belgium First Div,Charleroi,Waasland-Beveren,1613850300,2021-02-20 19:45:00,Waasland-Beveren,Marathon Bet,1.85,3.94,3.94,0.5405405405405405,0.25380710659898476,0.25380710659898476,1.04815475373851,0.5157068062827225,0.24214659685863874,0.24214659685863874,1.9390862944162437,4.12972972972973,4.12972972972973
Belgium First Div,Charleroi,Waasland-Beveren,1613850300,2021-02-20 19:45:00,Waasland-Beveren,Ladbrokes,1.8,3.6,3.5,0.5555555555555556,0.2777777777777778,0.2857142857142857,1.119047619047619,0.49645390070921985,0.24822695035460993,0.2553191489361702,2.0142857142857142,4.0285714285714285,3.916666666666667
Belgium First Div,Charleroi,Waasland-Beveren,1613850300,2021-02-20 19:45:00,Waasland-Beveren,Matchbook,1.89,4.05,3.98,0.5291005291005292,0.2469135802469136,0.25125628140703515,1.0272703907544778,0.5150547838840481,0.2403588991458891,0.24458631697006297,1.9415410385259626,4.1604450825556345,4.088536155202822
Belgium First Div,Anderlecht,KV Kortrijk,1613910600,2021-02-21 12:30:00,Anderlecht,Unibet,1.58,5.5,3.8,0.6329113924050632,0.18181818181818182,0.2631578947368421,1.077887468960087,0.5871776142046413,0.1686801146260606,0.24414227116929824,1.7030622009569376,5.928381079280478,4.0959723820483305
Belgium First Div,Anderlecht,KV Kortrijk,1613910600,2021-02-21 12:30:00,Anderlecht,888sport,1.56,5.4,3.75,0.641025641025641,0.18518518518518517,0.26666666666666666,1.0928774928774927,0.586548488008342,0.1694473409801877,0.24400417101147032,1.704888888888889,5.901538461538461,4.098290598290598
